question_text,question_type,label,choices,question_set_type,record_id,bottle_name,help_text,media_url
"TERMINOLOGY KEY: Sommelier, Acidity, Body, Tannin, Primary/Secondary/Tertiary Flavors. See info for details.",info,Terminology,,,,,"Review these terms before starting.",
"What type of fruit do you smell and taste most in this wine?",multiple_choice,Fruit,"Tree Fruit (apple, pear),Citrus Fruit (lemon, lime),Stone Fruit (peach, apricot),Tropical Fruit (mango, pineapple, melon)",Primary,,Sample White,"Select the fruit type that best matches your impression.",
"On the scale below, how much do you enjoy the flavor/smell you just identified in the wine?",scale,Fruit Enjoyment,,Primary,,Sample White,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
"What condition is the fruit you picked up on in?",multiple_choice,Fruit Condition,"Underripe/Green,Ripe/Fresh-Picked,Overripe/Jammy,Baked/Cooked",Primary,,Sample White,"Select the fruit condition that best matches your impression.",
"On the scale below, how much do you enjoy the fruit condition that you identified in the wine?",scale,Fruit Condition Enjoyment,,Primary,,Sample White,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
"Do you smell/taste any of the following secondary or tertiary notes? If so, which stands out the most?",multiple_choice,Secondary/Tertiary,"Earth/Minerality,Vessel/Oak Barrels,Herbal/Floral,Fermentation/aging",Secondary,,Sample White,"Select the note that stands out most.",
"On the scale below, how much do you enjoy the secondary and tertiary notes that you identified in the wine?",scale,Secondary/Tertiary Enjoyment,,Secondary,,Sample White,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
"On the scale below, mark how much you enjoyed the acidity of the wine.",scale,Acidity Enjoyment,,Acidity,,Sample White,"1 = Way too acidic, 5 = I'm indifferent, 10 = Absolutely delicious!",
"On the scale below, mark how much you enjoyed the body of the wine.",scale,Body Enjoyment,,Body,,Sample White,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
"Would you drink another glass and/or finish a bottle of a wine like this? Would you bring this bottle to a dinner party?",scale,Overall Impression,,Final,,Sample White,"1 = I wouldn't drink this, 5 = I'm indifferent, 10 = I love it!",
"What type of fruit do you smell and taste most in this wine?",multiple_choice,Fruit,"Red Fruit (cherry, cranberry, pomegranate),Blue Fruit (blueberry, plum),Black Fruit (blackberry, black currant)",Primary,,Sample Red,"Select the fruit type that best matches your impression.",
"On the scale below, how much do you enjoy the flavor/smell you identified in the wine?",scale,Fruit Enjoyment,,Primary,,Sample Red,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
"What condition is the fruit you picked up on in?",multiple_choice,Fruit Condition,"Underripe/Green,Ripe/Fresh-Picked,Overripe/Jammy,Baked/Cooked",Primary,,Sample Red,"Select the fruit condition that best matches your impression.",
"On the scale below, how much do you enjoy the fruit condition that you identified in the wine?",scale,Fruit Condition Enjoyment,,Primary,,Sample Red,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
"Do you smell/taste any of the following secondary or tertiary notes? If so, which stands out the most?",multiple_choice,Secondary/Tertiary,"Earth/Minerality,Vessel/Oak barrels,Herbal/Floral,Fermentation/aging",Secondary,,Sample Red,"Select the note that stands out most.",
"On the scale below, how much do you enjoy the secondary and tertiary notes that you identified in the wine?",scale,Secondary/Tertiary Enjoyment,,Secondary,,Sample Red,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
"On the scale below, mark how much you enjoyed the acidity of the wine.",scale,Acidity Enjoyment,,Acidity,,Sample Red,"1 = Way too acidic, 5 = I'm indifferent, 10 = Absolutely delicious!",
"On the scale below, mark how much you enjoyed the body of the wine.",scale,Body Enjoyment,,Body,,Sample Red,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
"On the scale below, mark how much you enjoyed the tannins of this wine.",scale,Tannin Enjoyment,,Tannin,,Sample Red,"1 = get it away from me, 5 = I'm indifferent, 10 = give me more!",
